0.0 PIE.@SGVF|MCO_AttackSpeed|1.0
0.0 PIE.@SGVI|MCO_NextAttack|5
0.0 PIE.@SGVI|MCO_NextPowerAttack|9
0.0 SoundPlay.FHPSound
0.0 PIE.$FHFX_Body
0.06666666666666667 CastOKStart
0.13333333333333333 preHitFrame
0.7 SoundPlay.WPNSwingFx
0.7 Collision_AttackStart
0.7833333333333333 PIE.$HitPushX3_Trigger
0.7833333333333333 PIE.$Fist_Hit
0.7833333333333333 HitFrame
0.7833333333333333 Collision_Add.Node(NPC R Thigh [RThg])|ID(1)|Scale(3.0)|NoTrail
0.7833333333333333 Collision_Add.Node(NPC R Calf [RClf])|ID(1)|Scale(3.0)|NoTrail
0.7833333333333333 Collision_Add.Node(NPC R Foot [Rft ])|ID(1)|Scale(3.0)|NoTrail|RadiusMult(2)
0.85 Collision_AttackEnd
1.0 MCO_WinOpen
1.0 MCO_PowerWinOpen
1.3333333333333333 MCO_WinClose
1.3333333333333333 MCO_PowerWinClose
1.3333333333333333 MCO_Recovery
1.8333333333333333 AttackStop
0.0 animmotion 0.0 0.0 0
0.016666666666666666 animmotion 0.0 0.26 0
0.03333333333333333 animmotion 0.0 1.02 0
0.05 animmotion 0.0 2.21 0
0.06666666666666667 animmotion 0.0 3.79 0
0.08333333333333333 animmotion 0.0 5.68 0
0.1 animmotion 0.0 7.84 0
0.11666666666666667 animmotion 0.0 10.21 0
0.13333333333333333 animmotion 0.0 12.72 0
0.15 animmotion 0.0 15.34 0
0.16666666666666666 animmotion 0.0 17.99 0
0.18333333333333332 animmotion 0.0 20.63 0
0.2 animmotion 0.0 23.19 0
0.21666666666666667 animmotion 0.0 25.63 0
0.23333333333333334 animmotion 0.0 27.87 0
0.25 animmotion 0.0 29.88 0
0.26666666666666666 animmotion 0.0 31.68 0
0.2833333333333333 animmotion 0.0 33.3 0
0.3 animmotion 0.0 34.77 0
0.31666666666666665 animmotion 0.0 36.12 0
0.3333333333333333 animmotion 0.0 37.37 0
0.35 animmotion 0.0 38.57 0
0.36666666666666664 animmotion 0.0 39.73 0
0.38333333333333336 animmotion 0.0 40.9 0
0.4 animmotion 0.0 42.11 0
0.4166666666666667 animmotion 0.0 43.38 0
0.43333333333333335 animmotion 0.0 44.74 0
0.45 animmotion 0.0 46.23 0
0.4666666666666667 animmotion 0.0 47.87 0
0.48333333333333334 animmotion 0.0 49.69 0
0.5 animmotion 0.0 51.69 0
0.5166666666666667 animmotion 0.0 53.83 0
0.5333333333333333 animmotion 0.0 56.1 0
0.55 animmotion 0.0 58.49 0
0.5666666666666667 animmotion 0.0 60.97 0
0.5833333333333334 animmotion 0.0 63.53 0
0.6 animmotion 0.0 66.15 0
0.6166666666666667 animmotion 0.0 68.8 0
0.6333333333333333 animmotion 0.0 71.48 0
0.65 animmotion 0.0 74.16 0
0.6666666666666666 animmotion 0.0 76.82 0
0.6833333333333333 animmotion 0.0 79.45 0
0.7 animmotion 0.0 82.03 0
0.7166666666666667 animmotion 0.0 84.53 0
0.7333333333333333 animmotion 0.0 86.95 0
0.75 animmotion 0.0 89.25 0
0.7666666666666667 animmotion 0.0 91.43 0
0.7833333333333333 animmotion 0.0 93.46 0
0.8 animmotion 0.0 95.33 0
0.8166666666666667 animmotion 0.0 97.02 0
0.8333333333333334 animmotion 0.0 98.51 0
0.85 animmotion 0.0 99.77 0
0.8666666666666667 animmotion 0.0 100.8 0
0.8833333333333333 animmotion 0.0 101.6 0
0.9 animmotion 0.0 102.28 0
0.9166666666666666 animmotion 0.0 102.97 0
0.9333333333333333 animmotion 0.0 103.83 0
0.95 animmotion 0.0 104.97 0
0.9666666666666667 animmotion 0.0 106.54 0
0.9833333333333333 animmotion 0.0 108.51 0
1.0 animmotion 0.0 110.29 0
1.0166666666666666 animmotion 0.0 111.78 0
1.0333333333333334 animmotion 0.0 113.05 0
1.05 animmotion 0.0 114.16 0
1.0666666666666667 animmotion 0.0 115.17 0
1.0833333333333333 animmotion 0.0 116.13 0
1.1 animmotion 0.0 117.11 0
1.1166666666666667 animmotion 0.0 118.16 0
1.1333333333333333 animmotion 0.0 119.33 0
1.15 animmotion 0.0 120.65 0
1.1666666666666667 animmotion 0.0 122.12 0
1.1833333333333333 animmotion 0.0 123.76 0
1.2 animmotion 0.0 125.56 0
1.2166666666666666 animmotion 0.0 127.51 0
1.2333333333333334 animmotion 0.0 129.6 0
1.25 animmotion 0.0 131.81 0
1.2666666666666666 animmotion 0.0 134.13 0
1.2833333333333334 animmotion 0.0 136.55 0
1.3 animmotion 0.0 139.05 0
1.3166666666666667 animmotion 0.0 141.63 0
1.3333333333333333 animmotion 0.0 144.26 0
1.35 animmotion 0.0 146.94 0
1.3666666666666667 animmotion 0.0 149.64 0
1.3833333333333333 animmotion 0.0 152.32 0
1.4 animmotion 0.0 154.95 0
1.4166666666666667 animmotion 0.0 157.49 0
1.4333333333333333 animmotion 0.0 159.92 0
1.45 animmotion 0.0 162.2 0
1.4666666666666666 animmotion 0.0 164.31 0
1.4833333333333334 animmotion 0.0 166.23 0
1.5 animmotion 0.0 167.96 0
1.5166666666666666 animmotion 0.0 169.51 0
1.5333333333333334 animmotion 0.0 170.86 0
1.55 animmotion 0.0 172.01 0
1.5666666666666667 animmotion 0.0 172.95 0
1.5833333333333333 animmotion 0.0 173.7 0
1.6 animmotion 0.0 174.23 0
1.6166666666666667 animmotion 0.0 174.56 0
1.6333333333333333 animmotion 0.0 174.67 0
