0.0 PIE.@SGVF|MCO_AttackSpeed|1.0
0.0 PIE.@SGVI|MCO_NextAttack|4
0.0 PIE.@SGVI|MCO_NextPowerAttack|4
0.000000 SoundPlay.FHPSound
0.0 PIE.$FHFX_Body
0.06666666666666667 CastOKStart
0.1 preHitFrame
0.5833333333333334 SoundPlay.WPNSwingFx
0.6166666666666667 Collision_AttackStart
0.6666666666666666 PIE.$Fist_Hit
0.6666666666666666 PIE.$FootStamp_Trigger
0.6666666666666666 Collision_Add.Node(NPC L Thigh [LThg])|ID(1)|Scale(3.0)
0.6666666666666666 Collision_Add.Node(NPC L Calf [LClf])|ID(1)|Scale(3.0)
0.6666666666666666 Collision_Add.Node(NPC L Foot [Lft ])|ID(1)|Scale(3.0)|RadiusMult(2)
0.6666666666666666 HitFrame
0.7333333333333333 Collision_AttackEnd
1.0333333333333334 MCO_WinOpen
1.0333333333333334 MCO_PowerWinOpen
1.3666666666666667 MCO_WinClose
1.3666666666666667 MCO_PowerWinClose
1.3666666666666667 MCO_Recovery
0.0 animmotion 0.0 0.0 0
0.016666666666666666 animmotion 0.0 0.15 0
0.03333333333333333 animmotion 0.0 0.6 0
0.05 animmotion 0.0 1.32 0
0.06666666666666667 animmotion 0.0 2.28 0
0.08333333333333333 animmotion 0.0 3.48 0
0.1 animmotion 0.0 4.87 0
0.11666666666666667 animmotion 0.0 6.45 0
0.13333333333333333 animmotion 0.0 8.18 0
0.15 animmotion 0.0 10.05 0
0.16666666666666666 animmotion 0.0 12.03 0
0.18333333333333332 animmotion 0.0 14.11 0
0.2 animmotion 0.0 16.26 0
0.21666666666666667 animmotion 0.0 18.45 0
0.23333333333333334 animmotion 0.0 20.66 0
0.25 animmotion 0.0 22.88 0
0.26666666666666666 animmotion 0.0 25.08 0
0.2833333333333333 animmotion 0.0 27.23 0
0.3 animmotion 0.0 29.32 0
0.31666666666666665 animmotion 0.0 31.31 0
0.3333333333333333 animmotion 0.0 33.2 0
0.35 animmotion 0.0 34.95 0
0.36666666666666664 animmotion 0.0 36.53 0
0.38333333333333336 animmotion 0.0 37.94 0
0.4 animmotion 0.0 39.15 0
0.4166666666666667 animmotion 0.0 40.12 0
0.43333333333333335 animmotion 0.0 40.85 0
0.45 animmotion 0.0 41.3 0
0.8 animmotion 0.0 41.45 0
0.8166666666666667 animmotion 0.0 41.26 0
0.8333333333333334 animmotion 0.0 40.72 0
0.85 animmotion 0.0 39.87 0
0.8666666666666667 animmotion 0.0 38.77 0
0.8833333333333333 animmotion 0.0 37.46 0
0.9 animmotion 0.0 36.0 0
0.9166666666666666 animmotion 0.0 34.44 0
0.9333333333333333 animmotion 0.0 32.82 0
0.95 animmotion 0.0 31.18 0
0.9666666666666667 animmotion 0.0 29.59 0
0.9833333333333333 animmotion 0.0 28.08 0
1.0 animmotion 0.0 26.7 0
1.0166666666666666 animmotion 0.0 25.48 0
1.0333333333333334 animmotion 0.0 24.42 0
1.05 animmotion 0.0 23.48 0
1.0666666666666667 animmotion 0.0 22.64 0
1.0833333333333333 animmotion 0.0 21.87 0
1.1 animmotion 0.0 21.15 0
1.1166666666666667 animmotion 0.0 20.44 0
1.1333333333333333 animmotion 0.0 19.72 0
1.15 animmotion 0.0 18.95 0
1.1666666666666667 animmotion 0.0 18.1 0
1.1833333333333333 animmotion 0.0 17.15 0
1.2 animmotion 0.0 16.05 0
1.2166666666666666 animmotion 0.0 14.8 0
1.2333333333333334 animmotion 0.0 13.4 0
1.25 animmotion 0.0 11.89 0
1.2666666666666666 animmotion 0.0 10.28 0
1.2833333333333334 animmotion 0.0 8.62 0
1.3 animmotion 0.0 6.92 0
1.3166666666666667 animmotion 0.0 5.21 0
1.3333333333333333 animmotion 0.0 3.51 0
1.35 animmotion 0.0 1.87 0
1.3666666666666667 animmotion 0.0 0.29 0
1.3833333333333333 animmotion 0.0 -1.2 0
1.4 animmotion 0.0 -2.58 0
1.4166666666666667 animmotion 0.0 -3.82 0
1.4333333333333333 animmotion 0.0 -4.9 0
1.45 animmotion 0.0 -5.79 0
1.4666666666666666 animmotion 0.0 -6.47 0
1.4833333333333334 animmotion 0.0 -6.9 0
1.5 animmotion 0.0 -7.05 0
